"Team","System_Team","Match_Number","Home_Away","Three_Or_Five_Def","Two_Strikers","Classification","Age","Mean_Value","Rank","Points","League","Rank_bis","Points_bis"
"VfL Wolfsburg","4-3-3",1444,"Home","No","No","4d_1s",24.7,7.22,8,49,"Bundesliga",0.555555555555556,1.44117647058824
"Hertha BSC","4-2-3-1",1444,"Away","No","No","4d_1s",25.4,2.29,18,29,"Bundesliga",0,0.852941176470588
"VfL Bochum","4-3-3",1445,"Home","No","No","4d_1s",27.7,1.68,14,35,"Bundesliga",0.222222222222222,1.02941176470588
"Bayer 04 Leverkusen","4-3-3",1445,"Away","No","No","4d_1s",24.2,12.93,6,50,"Bundesliga",0.666666666666667,1.47058823529412
"VfB Stuttgart","3-4-2-1",1446,"Home","Yes","No","3_5d_1s",23.2,3.87,16,33,"Bundesliga",0.111111111111111,0.970588235294118
"TSG 1899 Hoffenheim","3-5-2",1446,"Away","Yes","Yes","3_5d_2s",25.8,4.83,12,36,"Bundesliga",0.333333333333333,1.05882352941176
"CA Osasuna","4-2-3-1",1447,"Home","No","No","4d_1s",26.7,4.84,7,53,"Liga",0.65,1.39473684210526
"Sevilla FC","4-2-3-1",1447,"Away","No","No","4d_1s",26.3,5.54,11,49,"Liga",0.45,1.28947368421053
"Celta de Vigo","4-4-2",1448,"Home","No","Yes","4d_2s",25.2,3.86,13,43,"Liga",0.35,1.13157894736842
"RCD Espanyol Barcelona","4-1-4-1",1448,"Away","No","No","4d_1s",25.5,3.23,19,37,"Liga",0.05,0.973684210526316
"Real Valladolid CF","4-1-4-1",1449,"Home","No","No","4d_1s",26.3,2.21,18,40,"Liga",0.1,1.05263157894737
"Villarreal CF","4-4-2",1449,"Away","No","Yes","4d_2s",25.8,8.45,5,64,"Liga",0.75,1.68421052631579
"FC Barcelona","4-3-3",1450,"Home","No","No","4d_1s",24,20.41,1,88,"Liga",0.95,2.31578947368421
"Rayo Vallecano","4-2-3-1",1450,"Away","No","No","4d_1s",28.1,3.57,12,49,"Liga",0.4,1.28947368421053
"Cádiz CF","4-4-2",1451,"Home","No","Yes","4d_2s",26.8,1.4,16,42,"Liga",0.2,1.10526315789474
"Real Sociedad","4-3-1-2",1451,"Away","No","Yes","4d_2s",24.5,11.94,4,71,"Liga",0.8,1.86842105263158
"Valencia CF","4-3-3",1452,"Home","No","No","4d_1s",24,6.24,14,42,"Liga",0.3,1.10526315789474
"Girona FC","3-4-3",1452,"Away","Yes","No","3_5d_1s",25.1,3.78,10,49,"Liga",0.5,1.28947368421053
"UD Almería","5-3-2",1453,"Home","Yes","Yes","3_5d_2s",25.4,3.17,17,41,"Liga",0.15,1.07894736842105
"Real Madrid","4-3-3",1453,"Away","No","No","4d_1s",25.4,25.65,2,78,"Liga",0.9,2.05263157894737
